source	target
DULCINEA	डल्सिनिया
GULARBHOJ	गुलरभोज
LEWIS IGNOSH	लुइस इगनोश
MURALIDHAR	मुरलीधर
MEERUT	मेरठ
DEENABANDHU	दीनबंधु
SAUHAARD	सौहार्द
TREHAN	त्रेहन
PRIYAM	प्रियम
DREW	ड्रयू
EKATMA	एकात्मा
MUSLIM KA LAL	मुस्लिम का लाल
DIMAPUR	दीमापुर
KANTIMOY	कंतिमोय
CLAUDE HENDERSON	क्लॉड हेंडरसन
DARRIN MURRAY	डेरिन मुर्रे
NAUGAON	नौगाँव
PAULINA	पौलिना
WALKER MUSEUM	वॉकर म्युज़ियम
LAKE MANYARA	लेक मन्यारा
PARMATMA	परमात्मा
KIGLAPAIT	किग्लापॅट
MRINAL	मृणाल
IGNATIUS	इग्नेशियस
PAISA YEH PAISA	पैसा ये पैसा
LUCINE	ल्यूसिन
SYLVESTER	सिल्वेस्टर
TIM ZOEHRER	टिम ज़ोहरर
SAMBHAV	सम्भव
GUJARAT AMBUJA CEMENT	गुजरात अंबुजा सीमेंट
SAMTA	समता
POMMERN	पॉमर्न
PALLADIUM	पलैडियम
GRINHAM	ग्रिनहैम
KHUSH BAKHT	खुश बख्त
IRAI	इराय
Bolda	बोलदा
CLICKSOFTWARE TECHNOLOGIES	क्लिकसॉफ़्टवेयर टेक्नोलॉजीज़
LEONARDO	लियोनार्डो
Akbarpur	अकबरपुर
TORAN	तोरन
YATISHWAR	यतीश्वर
BHARGAVA	भार्गव
JUNDUB	जुन्दुब
Flora	फ्लोरा
RUE	रू
SEKHON	सेखोन
CHAMUNDESWARI	चमुनदेस्वरी
OLONGA	ओलोंगा
Anshi	अंशी
DREADNOUGHT	ड्रेडनॉट
MUSTAQEEM	मुस्तक़ीम
CHAURI CHAURA	चौरी चौरा
BEETE DIN	बीते दिन
NARLIKAR	नारलीकर
BANYAN	बॅनयान
PARAMA	परमा
MCKILE	मैककिले
CUICA	क्युका
RENU	रेणु
KHALIDAH	खलिदाह
KANAKPRIYA	कनकप्रिया
DEVAR BHABI	देवर भाभी
PATRALEKHA	पत्रलेखा
JAGAT	जगत
TREY	ट्रे
FATS DOMINO	फ़ेट्स डोमिनो
MARGARET MAID	मार्गरेट मेड
Verna	वेर्ना
HIM	हिम
Sambhawana	सम्भावना
TEESTA	तीस्ता
PRAJ INDUSTRIES	प्राज इंडस्ट्रीज़
RASBIHARI	रासबिहारी
CHAJAWA	चजावा
ADINAATH	आदिनाथ
RAYTHEON	रेथिऑन
Adinath	आदिनाथ
ROBERT WILLIAMS	रॉबिन विलियम्स
DAPODI	दपोदी
BARELI	बरेली
CHASTITY	चेस्टिटी
Gelsey	गेल्से
MUSHFIQUR RAHIM	मुश्फिकर रहीम
MERI KAHANI	मेरी कहानी
MAIN TULSI TERE AANGAN KI	मैं तुलसी तेरी आँगन की
SAFED JHOOTH	सफ़ेद झूठ
SANAUBAR	सनौबर
QWEST COMMUNICATIONS	क्वेस्ट कम्युनिकेशंस
MERVYN DILLON	मर्विन डिलों
BEGUINE	बेजूइन
INDUMATI	इन्दुमति
EROS	ईरोज़
NATIONAL ART GALLERY AND ALEXANDROS SOUTZOS MUSEUM	नेशनल आर्ट गैलरी एण्ड एलेक्ज़ैंड्रस सुज़ॉस म्युज़ियम
VIRGIL	वर्जिल
MANAGER	मैनेजर
SURYAKANTI	सूर्यकांति
NAIB	नैब
COBAIN	कोबेन
BARSUAN	बरसौन
HERMES	हर्मीस
SHILPITA	शिल्पिता
TIKAMGARH	टीकमगढ़
BAURIA JUNCTION	बौरिया जंक्शन
PREMIO NADAL	प्रेमियो नडाल
KHOON KA KHOON	खून का खून
KENYA	केन्या
RASTE AUR MANZIL	रास्ते और मंज़िल
Thailand	थायलैंड
KASHIPRASAD	काशीप्रसाद
SALUIN	सालुइन
RUSSELL KROVI	रसेल क्रोवी
NISAL FERNANDO	निसल फर्नेंडो
BROOKLYN	ब्रुकले
AKALGADIYA	अकालगड़िया
MUKULIT	मुकुलित
Induprabha	इन्दुप्रभा
DELAWARE CANAL	डेलावेयर केनाल
COLDSTREAM MUSEUM	कोल्डस्ट्रीम म्युज़ियम
DONAGH	दोनघ
SIMON DOULL	साइमन डॉल
SAMEERA	समीरा
I^DUKAANT	इंदुकांत
SAMBARAN	समबरन
LARAMIE	लारामी
LASSIE	लैसी
LUMPS FORT	लम्प्स फोर्ट
GAMINI PERERA	जेमिनी परेरा
EULALIE	यूलेली
Babenburg	बाबेनबर्ग
SHOAIB MALIK	शोएब मलिक
CHANDOK	चंडोक
GHAARE	घारे
KRIPAL	कृपाल
KAMPALA	कंपाला
Alegrias	एलेग्रियास
DULCIMER	डलसाइमर
GIORGIO	ज्यार्जियो
GUNAH	गुनाह
SEPIK FLUTES KANENGARA	सेपिक फ्ल्यूट्स कनेनगरा
RICHA	ऋचा
GAIL	गेल
AMBREESH	अंबरीश
Okinoshima	ओकिनोशिमा
ORDER OF THE CROWN	ऑडर ऑफ द क्राउन
BEHAKE KADAM	बहके कदम
ADERYN	एडरिन
LAWAATE	लवाटे
APPLING	एप्लिंग
KHUDRAH	खुदराह
UNIVERSITY OF PORTSMOUTH	यूनिवर्सिटी ऑफ पोर्ट्समाउथ
LANGSTONE REDOUBT	लैंगस्टोन रिडाउट
IDANA	इडेना
Shawna	शॉना
EFFIE AWARDS	एफी अवार्ड्‍स
SCHLESWIG-HOLSTEIN WADDEN SEA	शेज़विग-होलस्टेन वैडन सी
CHAKRADHARPUR	चक्रधरपुर
Mujrim	मुजरिम
CHRISTA	क्रिस्टा
KISHOR	किशोर
CARISSA	कैरीसा
DONALD TRUMP	डोनाल्ड ट्रंप
IRISH	आयरिश
SAINT-AFFRIQUE PRIZE	सेंट-एफ्रीक प्राइज़
BANK OF AMERICA PLAZA	बैंक ऑफ अमेरिका प्लाज़ा
SHIKISHIMA	शिकीशिमा
MACRONIX INTERNATIONAL	मैक्रॉनिक्स इंटरनेशनल
BAYAZID BASTAMI	बयाज़िद बस्तामी
WOH PHIR NAHIN AAYEE	वो फिर नहीं आई
MITSUBISHI TOKYO FINANCIAL GROUP	मित्सुबिशी टोक्यो फ़ाइनेंशियल ग्रुप
BIJAINAGAR	बिजयनगर
PAUL SIMON	पॉल सिमॉन
ABAZILA	अबाजिला
BARHAN	बरहान
Shridula	श्रीदुला
SVAATI	स्वाति
SALEEM MALIK	सलीम मलिक
YASHODHAN	यशोधन
FORT MORGAN	फोर्ट मॉर्गन
SENAPATI	सेनापति
MARK BURGESS	मार्क बर्गेस
Mario	मारिओ
LAURENCE OLIVIER AWARDS	लॉरेंस ओलिवर अवार्ड्‍स
GIRIK	गिरिक
SELKIRK	सेलक्रिक
SANGHERA	संघेरा
BEBUS	बेबस
PAUL ALLOTT	पॉल एलॉट
VINOTHEN JOHN	विनोथन जॉन
ANAND AUR ANAND	आनंद और आनंद
ROXY	रॉक्सी
Nash	नैश
GERALD	गेराल्ड
GAFOOR	गफूर
KHOT	खोत
BAHURUP	बहुरूप
MALIKA	मलिका
Dungarpur	डूंगरपूर
ANKITA	अंकिता
CHAGGAN	छगन
ABHINAV	अभिनव
DEEPESH	दीपेश
ETTA	एट्‍टा
DHOT	ढोट
ECHO MOUNTAIN	ईको माउंटन
BAGLAMA	बगलामा
TUTEJA	टुटेजा
DENNIS AMISS	डेनिस एमिस
Troy	ट्रॉय
YAQUI INDIAN DANCE	याकूई इंडियन डांस
GERARD	गेरार्ड
SHEEP	शीप
MURSHIDABAD	मुर्शिदाबाद
Siran	सिरन
NEGI	नेगी
JAWANI KI LEHREN	जवानी की लहरें
EL-MAREES	अल-मरीस
AISHBAGH	ऐशबाग
LOU VINCENT	लोउ विंसेंट
SNIGDHAA	स्निग्धा
FORT WILLIAM	फोर्ट विलियम
HAMISH ANTHONY	हमीश एंथनी
TUNTEX SKY TOWER	टर्नटेक्स स्काय टॉवर
SAZAA	सज़ा
VARATTUPALLAM RESERVOIR	वरत्तुपल्लम रिज़रवायर
AJAMAL	अजमल
SKILLSOFT	स्किलसॉफ़्ट
FORT SAN GERONIMO	फोर्ट सैन गेरोनिमो
Bhulanpur	भुलनपुर
Eifel	एइफ़ेल
HUM NAUJAWAN	हम नौजवान
KHATTA MEETHA	खट्टा मीठा
VILASINI	विलासिनी
TITANIA	टिटानिया
MAHINDRA UGINE	महिंद्रा युजिन
SHUJA	शुजा
QUEENSBORO	क्वीन्सबोरो
CHAKRADHARI	चक्रधारी
NIDA	निदा
NATWAR	नटवर
AIDA	आइडा
SHIV SHAKTI	शिव शक्ति
KALIKA	कालिका
FIDA	फिदा
SAAT HINDUSTANI	सात हिंदुस्तानी
SARASI	सरसि
PREET NA JANE REET	प्रीत न जाने रीत
VAADDEKAR	वाडदेकर
AAJ KA GUNDARAJ	आज का गुंडाराज
JULINKA	जूलिन्का
TITAN INDUSTRIES	टाइटन इंडस्ट्रीज़
SILICON MOTION TECHNOLOGY CORPORATION	सिलिकॉन मोशन टेक्नोलॉजी कॉर्पोरेशन
DIVARATH	दिवारथ
Jwala	ज्वाला
BRYAN STRANG	ब्रायन स्ट्रेंग
Alexavier	अलेक्जेवियर
LALITA	ललिता
DHONGEE	ढ़ोंगी
DAILY AIKYA	डेल्ही ऐक्य
NAARI	नारी
BARCHI ROAD	बारची रोड
Faye	फे
JANE FONDA	जेन फ़ोंडा
WARNER	वार्नर
HARRY POTTER	हैरी पॉटर
HARYANA	हरयाणा
KRODHI	क्रोधी
KEVIN CURRAN	केविन क्यूरेन
NAYAN	नयन
AURAV	औरव
NASHTAR	नश्तर
COLLEGE FOOTBALL AWARDS	कॉलेज फुटबॉल अवार्ड्‍स
Chitrod	चित्रोद
NAHAR	नाहर
GRADUATE	ग्रेजुएट
BETI BETE	बेटी बेटे
CARNEGIE MELLON UNIVERSITY	कारनेग मेलन यूनिवर्सिटी
LEONORA	लियोनोरा
AGOSTINO	एगोस्तिनो
CROWNHILL FORT	क्राउनहिल फोर्ट
AMROHA	अमरोहा
CHAMARAJANAGAR	चमराजनगर
NIRGUDE	निरगुडे़
NIGGLY	निगली
BRUCE EDGAR	ब्रूस एगर
KEITH DABENGWA	कैथ डबेंग्वा
CHRISTINA	क्रिस्टीना
AMARKAANT	अमरकांत
FERUMAN	फेरूमन
MANOHAR	मनोहर
CHRISTINE	क्रिस्टीन
SIDEWISE	साइडवाइज़
MAHANT	महंत
RHEINLAND	रेनलैंड
SUNILA	सुनिला
TATINI	तातिनी
WATER TOWER PLACE	वॉटर टॉवर प्लेस
LUCAS	लुकास
MAD BHARE NAIN	मद भरे नैन
Nicaragua	निकारगुआ
DEMI MOORE	डेमी मूर
HUBERT HUMPHREY	ह्युबर्ट हम्फ़्री
FORT LIGONIER	फोर्ट लिगोनियर
SHAHRIAR NAFEES	शहरियार नफीस
YALQOOT	यलकूत
SUKAYNAH	सुकेनाह
QUAD RUGBY	क्वाड रग्बी
FORT RECOVERY	फोर्ट रिकवरी
ANJAAN	अंजान
MAJEDAAR	मजेदार
AMEENA	अमीना
HARI BHOOMI	हरी भूमि
AHLAD	आह्लाद
KALINDI	कालिन्दी
JEANNE	जीनी
PINAKIN	पिनाकिन
BAHU BEGUM	बहू बेगम
PREYASI	प्रेयसी
JYOTISHMATI	ज्योतिष्मती
CHOLAMANDALAM	कोलामंडलम
EUDORA	यूडोरा
CHAELI	चाएली
AKHTIYAR	अख्तियार
POUND	पौंड
BARD	बर्द
MUJHE VACHAN DO	मुझे वचन दो
SIBERUT	सिबेरुट
MIMIS	मिमिस
SURYANAR KOIL	सूर्यानार कोयील
TRISHNA	तृष्णा
MIZORAM	मिज़ोरम
MURDE KI JAAN KHATRE MAIN	मुर्दे की जान खतरे में
RUBAINA	रुबैना
CLEMENTINE	क्लेमेंटाइन
HARVINDER SINGH	हरविंदर सिंह
ESMERALDA	एस्मरेल्डा
YUNUS EMRE	युनुस इमर
BARNAGAR	बारनगर
CLINT	क्लिंट
MORGANA	मोर्गना
Afif	अफीफ
Nazaare	नज़ारे
Ajeej	अजीज
MADRID	मैड्रिड
SADR	सद्र
BAARE	बारे
DELHI CANTONMENT	डेल्ही कैंनटॉनमेंट
DUSHMANI	दुश्मनी
TRIYAMA	त्रियामा
BANARHAT	बनारहट
SPENCE	स्पेंस
NADR	नद्र
NARAYANA	नारायण
DHAMKEE	धमकी
CORALIA	कोरेलिया
KHIDRAH	खिदराह
PRANJIVAN	प्राणजीवन
IAN MACEWEN	इयान मैकवेन
MILAN MALPENSA	मिलान मालपेन्सा
VANADEVEE	वनदेवी
DUGDOL	दुगडोल
GOVIND	गोविन्द
TYRONE	टायरॉन
VUNTUT	वनटूट
ANEESH	अनीश
BADHTI KA NAAM DADHI	बढ़ती का नाम दाढ़ी
Phagun	फागुन
SANAT	सनत
GURUDWARA CHAMKAUR SAHIB	गुरूद्वारा चमकौर साहिब
Gauraa	गौरा
PYASI ATMA	प्यासी आत्मा
COBALT	कोबाल्ट
SUR GAAYAK	सुर गायक
AACHARYASUTA	आचार्यसुता
ASNOTI	अस्नोती
BHARTI AIR	भारती एयर
INDIKA DE SARAM	इंडिका डे सारम
MANIRAM	मणिराम
DIRK WELLHAM	डर्क वेल्हैम
Vishvakarmaa	विश्वकर्मा
BURAJ	बुरज
SHRINIVAS	श्रीनिवास
CALAMITY JANE	कैलॅमिटी जेन
SYNCHRONISED SWIMMING	सिंक्रोनाइज़्ड स्विमिंग
MANA POOLS	माना पूल्स
ZENIA	ज़ेनिया
BANCROFT	बेंक्रोफ्ट
BROWN	ब्राउन
AKLIA	अकलिया
PRATOSH	प्रतोश
Cindy	सिंडी
TALHAH	तलहाह
SHRIRAM TRANSFI	श्रीराम ट्रांसफ़ी
Arindam	अरिंदम
SHAH E MISAR	शाह ए मिसर
EGYPT	इजिप्त
Faizah	फैज़ाह
WIMBORN	विम्बॉर्न
THE AUSTRALIAN/VOGEL LITERARY AWARD	द ऑस्ट्रेलियन/वोगेल लिट्रेरी अवार्ड
GUALTIER	गॉल्टियर
SYED FAZL KAREEM QUADRI	सय्यद फज़्ल करीम क़ादरी
CHEKOV	चेकॉव
BALURAN	बालुरान
FORT BRIDGER	फोर्ट ब्रिजर
JAANEMAN	जानेमन
KHANJAR	खंजर
POLICE	पुलिस
SHURAYH	शुरायह
SUPER BOWL	सुपर बाउल
MALLAH	मल्लाह
LAZAR	लैज़र
BOMBO	बॉम्बो
ABNUR	अबनूर
Arthur	आर्थर
MERLIN KVILLE	मर्लिन क्वीले
GUNTHER	गुंथर
Serafina	सेराफिना
NIAGARA	नायग्रा
EDANA	एडना
ABDUL RAQIB	अब्दुल रकीब
LILY	लिली
ROSS SEA	रॉस सी
SHRI	श्री
TATA COFFEE	टाटा कॉफ़ी
NAVIOS MARITIME HOLDINGS	नैवियोज़ मैरीटाइम होल्डिंग्स
FORDON	फोर्डन
Suhayr	सुहेर
DONNICA	डोनिका
EVERS	इवर्स
THOMAS HOBBS	टॉमस हॉब्स
HUSAM	हुसम
RAAN	रान
RIANNA	रियान्ना
TAAN	तान
MANZIL MANZIL	मंज़िल मंज़िल
DARTMOUTH FORT	डार्टमाउथ फोर्ट
JAAN	जान
JAHDAMAH	जहदमाह
SUSMITA	सुस्मिता
TELUGU	तेलुगू
TEIGRA	टीग्रा
DIL AKHIR DIL HAI	दिल आखिर दिल है
YUYUTSU	युयुत्सु
AABHAA	आभा
BARAMUA	बारामुआ
HATIMTAI	हातिमताई
JOHN JANI JANARDAN	जॉन जानी जनार्दन
BASS STRAIT	बास स्ट्रेट
RATNAMALA	रत्नमाला
ASHRAF ALI	अशरफ अली
PITTSBURG CHURCH OF CHRIST	पिट्सबर्ग चर्च ऑफ क्राइस्ट
MUSTAJAB	मुस्तजाब
ABDUL WAJEED	अब्दुल वजीद
SYDNEY	सिडनी
GIRIDHARI	गिरिधारी
BAGHI HASEENA	बागी हसीना
AKAAR	आकार
AAKHRI KASAM	आखिरी कसम
MATHURA	मथुरा
SANDURI	संदूरी
VIAREGGIO PRIZE	वायरेगियो प्राइज़
APMAAN	अपमान
JAI JAWAN JAI KISAN	जय जवान जय किसान
ATIFA	अतीफा
DASHIELL	डैशील
GULFAM	गुलफाम
INKAAR	इंकार
JOHNSON	जॉनसन
AVANINDER	अवनिंदर
SHIVSAGAR	शिवसागर
RASEEM	रसीम
VIVEK	विवेक
BRADFORD	ब्रॅडफोर्ड
LOCKET	लॉकेट
COLUMBIA RIVER	कोलंबिया रिवर
GAGAN	गगन
KRISHNA	कृष्ण
ABHAYAPRAD	अभयप्रद
WAFI	वाफी
KIARA	कियारा
Nirav	नीरव
ROOKIE OF THE YEAR AWARD	रूकी ऑफ द ईयर अवार्ड
GLAXOSMITHKLINE	ग्लैक्सोस्मिथक्लाइन
MEDAL OF NESTEROV	मेडल ऑफ नेस्टेरोव
PYASI NADI	प्यासी नदी
STEVE RHODES	स्टीव रोड्‍स
JAFARWAL	जफरवाल
MANN CUP	मान कप
JASOOS	जासूस
Farid	फरीद
SAINT LOUIS	सेंट लुइस
MANINDRA	मणिंद्र
DERMATOLOGY	डर्माटोलॉजी
STUART MATSIKENYERI	स्टुअर्ट मैटसिकेन्येरी
FAULADI MUKKA	फौलादी मुक्का
GHUFAYRAH	ग़ुफयराह
FIA	फिया
VAISHNO DEVI	वैष्णो देवी
AARATI	आरती
SAIB	सैब
CLEBURNE	क्लेबर्न
DHIRAJ	धीरज
COBRA	कोबरा
DAYAVAN	दयावान
COIMBATORE NORTH JUNCTION	कोइम्बटूर नॉर्थ जंक्शन
AIGHAR	ऐगर
ANWESHA	अन्वेशा
LUNGLEI	लुंगलेई
DHANDHUKA	धंधुका
WAHIDUL GANI	वहीदुल गानी
LADIES ONLY	लेडीज़ ओनली
EK THI LADKI	एक थी लड़की
SAJIV MURTI	सजीव मूर्ति
PRAYAG	प्रयाग
BALAWANT	बलवंत
URA	उरा
INDRADUTT	इंद्रदत्त
SASKATCHEWAN	सैस्कैचवान
TORRENT GROUP	टॉरेंट ग्रुप
ORANGE PRIZE FOR FICTION	ऑरेंज प्राइज़ फॉर फिक्शन
TERI MANG SITARON SE BHAR DOON	तेरी माँग सितारों से भर दूँ
ARNIE	एर्नी
BUNGLA	बंगला
NATIONAL MUSEUM OF CHINA	नेशनल म्युज़ियम ऑफ चाइना
WINDHAM COUNTY HISTORICAL MUSEUM	व‍िंडहैम काउंट‍ी ह‍िस्टॉर‍िकल म्युज़ियम
ENAKSHI	ईनाक्षी
ARA	आरा
DAZAI	डज़ाई
DADRI	दादरी
BAHERI	बहेरी
CARADOC	कारडोक
DEVARSI	देवर्षि
BURNPUR	बर्नपुर
GHAMAND	घमंड
KHOON BHA GANGA MEIN	खून बहा गंगा में
ZAHID SAEED	ज़ाहिद सईद
MATT PRIOR	मैट प्रायर
LAUD	लाउड
CHRIS KUGGELEIJN	क्रिस कगलेजिन
Cleavon	क्लीवन
SACH	सच
WITTELSBACH	विट्टल्सबैक
LINDORMEN	लिंडरमेन
DARPAD	दर्पद
JENIBELLE	जेनिबेल
Aakrosh	आक्रोश
UNIVERSITY OF ALASKA	यूनिवर्सिटी ऑफ अलास्का
DUDLEY	डुडली
SANJAY RAUL	संजय राउल
GREG BLEWETT	ग्रेग ब्लेवेट
DAWOOD	दावूद
EK AUR KHOON	एक और खून
WATERTON LAKES	वॉटरटॉन सरोवर
AAZIM	आज़िम
BHANDAPE	भांडपे
FILLER	फिलर
ROBERT WAGNER	रॉबर्ट वॅगनर
MILEK	मिलेक
MISSOULA	मिसौला
ATULYA	अतुल्य
HAAR JEET	हार जीत
AKALMASH	अकल्मश
UNIVERSITY OF GLASGOW	यूनिवर्सिटी ऑफ ग्लैसगो
DWIGHT	ड्वाइट
SATVINDER	सतविंदर
DAKU BHUPAT	डाकू भूपट
CATRIN	कैटरीन
PADMAN	पद्मन
BIJAULI	बिजौली
DENNIS LILLEE	डेनिस लिली
CARNIVAL QUEEN	कार्निवल क्वीन
BHADAURA	भदौरा
CHARLES DARWIN	चार्ल्स डार्विन
WORTH	वॉर्थ
SAATVIK	सात्विक
NAZIR	नज़ीर
ALOYSIUS	अलोयसियस
Hatyara	हत्यारा
AAKHRI NISHCHAY	आखिरी निश्चय
SHAMBHU MAHARAJ	शंभू महाराज
MANORAMA	मनोरमा
SUSITA	सुसिता
MAA KA PYAR	माँ का प्यार
PLAZA 66	प्लाज़ा 66
SAWAN AYA RE	सावन आया रे
ADVAKI	अद्‍वाकी
PARIS	पेरिस
GARRET	गैरेट
NITYA	नित्या
DARIEN WAR	डैरियन वार
ARK ROYAL	आर्क रॉयल
APNE PARAYE	अपने पराए
HERA	हीरा
ZAHREELAY	ज़हरीले
MULTANI	मुल्तानी
Vanoise	वैनॉइस
AJEE BUS SHUKRIYA	अजी बस शुक्रिया
KAHANI EK CHOR KI	कहानी एक चोर की
BALAJI	बालाजी
PRASANNJIT	प्रसन्नजित
JAMES COOK UNIVERSITY	जेम्स कुक यूनिवर्सिटी
UKHRUL	उखरुल
AMBALA	अंबाला
AON CENTRE	एऑन सेन्टर
HEMIS GOMPA	हेमीस गोम्पा
LUCRECE	ल्यूक्रेस
LEV	लेव
ANJAAM	अंजाम
STEFAN	स्टीफन
RAJGARH	राजगढ़
BACARDI-MARTINI INDIA	बैकार्डी मार्टिनी इंडिया
Shama	शमा
SUPARNAK	सुपर्णक
MAHINDRA GESCO DEVELOPERS	महिंद्रा गेस्को डेवलपर्स
MINOO MASANI	मीनू मसानी
WALTZ	वाल्ट्ज
SUNAYANI	सुनयनी
GHAZAL	ग़ज़ल
GLORIA STEINEM	ग्लोरिया स्टेनम
FOOLAN	फूलन
JAALI NOTE	जाली नोट
SURJOT	सुरजोत
UMAYYAH	उमय्याह
MAIN BHI LADKI HOON	मैं भी लड़की हूँ
ZAIRAH	ज़ैराह
Engineersind	इंजीनियर्सइंड
RAMNATH	रामनाथ
SADEEPAN	सदीपन
ORDER OF MILITARY MERIT	ऑडर ऑफ मिलिट्री मेरिट
CAMDEN	कैमडेन
INSAAF KI AWAZ	इंसाफ की आवाज़
SANATAN	सनातन
SHAHEED	शहीद
VISHRAM	विश्राम
ANGAARA	अंगारा
